Nama Pemilik,Jenis Pemilik,Nomor Polisi,Provinsi,Alamat Pemilik,Nomor HP,Golongan,Jenis Plat,Tgl Transaksi Terakhir,Tgl Jatuh Tempo,Status Kendaraan,Status Kunjungan
PTSAMUDRA PUSAKA JAYA,Perusahaan,BL-1946-NB,ACEH,JL. CUT MEUTIA NO. 8 KEC. BANDA SAKTI KOTA LHOKSEUMAWE,85270720786,EU,Kuning - Kendaraan Umum,2025-11-21,2026-07-20,BELUM LUNAS,BELUM DIKUNJUNGI
PTSAMUDRA PUSAKA JAYA,Perusahaan,BL-7322-NB,ACEH,JL. CUT MEUTIA NO. 08 KEC. BANDA SAKTI KOTA LHOKSEUMAWE,85555522555,EU,Kuning - Kendaraan Umum,2024-10-16,2025-10-30,BELUM LUNAS,BELUM DIKUNJUNGI
PTSAMUDRA PUSAKA JAYA,Perusahaan,BL-7630-NB,ACEH,JL. CUT MEUTIA NO. 8 KEL. PUSONG BARU KEC. BANDA SAKTI KOTA LHOKS,85260121700,EU,Kuning - Kendaraan Umum,2025-03-18,2026-03-20,BELUM LUNAS,BELUM DIKUNJUNGI
PTSAMUDRA PUSAKA JAYA,Perusahaan,BL-1889-NB,ACEH,JLN CUT MUTIA NO 8 KEC. BANDA SAKTI KOTA LHOKSEUMAWE,811111111,EU,Kuning - Kendaraan Umum,2025-06-02,2026-05-30,BELUM LUNAS,BELUM DIKUNJUNGI
PT SAMUDRA PUSAKA JAYA,Perusahaan,BL-1210-N,ACEH,JL. CUT MUTIA NO.8 KEL. PUSONG BARO KEC. BANDA SAKTI KOTA LHOKSEM,82325655650,EU,Kuning - Kendaraan Umum,2025-05-19,2025-09-05,BELUM LUNAS,BELUM DIKUNJUNGI
PT SAMUDRA PUSAKA JAYA,Perusahaan,BL-1654-NW,ACEH,JL. CUT MEUTIA NO. 8 DUSUN I KEL. PUSONG BARU KEC. BANDA SAKTI KO,81111111111,EU,Kuning - Kendaraan Umum,2024-09-26,2025-09-14,BELUM LUNAS,BELUM DIKUNJUNGI
PT SAMUDRA PUSAKA JAYA,Perusahaan,BL-1375-NL,ACEH,JL.CUT MEUTIA NO.8 LHOKSEUMAWE,85260121700,DU,Kuning - Kendaraan Umum,2025-05-07,2026-04-06,BELUM LUNAS,BELUM DIKUNJUNGI
PT SAMUDRA PUSAKA JAYA,Perusahaan,BL-1654-NB,ACEH,JL. CUT MUTIA NO. 8 LHOKSEUMAWE KEC. BANDA SAKTI KOTA LHOKSEUMAWE,82525212521,EU,Kuning - Kendaraan Umum,2024-10-08,2025-10-18,BELUM LUNAS,BELUM DIKUNJUNGI
PT SAMUDRA PUSAKA JAYA,Perusahaan,BL-1206-N,ACEH,JL. CUT MUTIA NO. 8 KEL. PUSONG BARU,85260477955,EU,Kuning - Kendaraan Umum,2025-01-06,2026-01-07,BELUM LUNAS,BELUM DIKUNJUNGI
PT SAMUDRA PUSAKA JAYA,Perusahaan,BL-1318-N,ACEH,JL. CUT MEUTIA NO. 08 DUSUN I KEL. PUSONG BARU KEC. BANDA SAKTI K,85277073060,EU,Kuning - Kendaraan Umum,2025-07-18,2026-07-20,BELUM LUNAS,BELUM DIKUNJUNGI
PT SAMUDRA PUSAKA JAYA,Perusahaan,BL-1923-NB,ACEH,JL. CUT MEUTIA NO. 8 KEL. LHOKSEUMAWE KEC. BANDA SAKTI KOTA LHOKS,85260121700,EU,Kuning - Kendaraan Umum,2025-07-08,2026-07-06,BELUM LUNAS,BELUM DIKUNJUNGI
PT SAMUDRA PUSAKA JAYA,Perusahaan,BL-1709-NB,ACEH,JL. CUT MEUTIA NO. 8 KEL. LHOKSEUMAWE KEC. BANDA SAKTI KOTA LHOKS,0,EU,Kuning - Kendaraan Umum,2026-04-06,2026-07-27,BELUM LUNAS,BELUM DIKUNJUNGI
PT SAMUDRA PUSAKA JAYA,Perusahaan,BL-1317-N,ACEH,JL. CUT MEUTIA NO. 8 DUSUN I KEL. PUSONG BARU KEC. BANDA SAKTI KO,811111111,EU,Kuning - Kendaraan Umum,2025-07-28,2026-07-26,BELUM LUNAS,BELUM DIKUNJUNGI
PT SAMUDRA PUSAKA JAYA,Perusahaan,BL-1325-N,ACEH,JL. CUT MEUTIA NO.8 DSN. I KEL. GP PUSONG BARU KOTA LHOKSEUMAWE,85278780000,EU,Kuning - Kendaraan Umum,2024-10-10,2025-10-10,BELUM LUNAS,BELUM DIKUNJUNGI
PT SAMUDRA PUSAKA JAYA,Perusahaan,BL-1318-NB,ACEH,JL. CUT MUTIA NO. 08 KEL. PUSONG BARU KEC. BANDA SAKTI KOTA LHOKS,80000000000,EU,Kuning - Kendaraan Umum,2025-03-10,2025-11-24,BELUM LUNAS,BELUM DIKUNJUNGI
PT SAMUDRA PUSAKA JAYA,Perusahaan,BL-1314-N,ACEH,JL. CUT MEUTIA NO.8 DSN. I KEL. GP PUSONG BARU KEC. BANDA SAKTI K,812345678,EU,Kuning - Kendaraan Umum,2024-12-03,2025-08-30,BELUM LUNAS,BELUM DIKUNJUNGI
PT SAMUDRA PUSAKA JAYA,Perusahaan,BL-7326-N,ACEH,JL. CUT MUTIA NO. 08 KOTA LHOKSEUMAWE KEC. BANDA SAKTI KOTA LHOKS,81363636336,EU,Kuning - Kendaraan Umum,2025-04-09,2026-03-09,BELUM LUNAS,BELUM DIKUNJUNGI
PT SAMUDRA PUSAKA JAYA,Perusahaan,BL-1972-NB,ACEH,JL. CUT MEUTIA NO. 8 KOTA LHOKSEUMAWE KEC. BANDA SAKTI KOTA LHOKS,81354888545,EU,Kuning - Kendaraan Umum,2024-12-23,2025-09-07,BELUM LUNAS,BELUM DIKUNJUNGI
PT SAMUDRA PUSAKA JAYA,Perusahaan,BL-1833-NB,ACEH,JL. CUT MUTIA NO. 8 KEL. PUSONG BARU KEC. BANDA SAKTI KOTA LHOKSE,85277401605,EU,Kuning - Kendaraan Umum,2025-07-28,2026-07-27,BELUM LUNAS,BELUM DIKUNJUNGI
PT SAMUDRA PUSAKA JAYA,Perusahaan,BL-1936-NB,ACEH,JL. CUT MEUTIA 8 DUSUN I KEL. PUSONG BARU KEC. BANDA SAKTI KOTA L,8,EU,Kuning - Kendaraan Umum,2024-10-21,2025-10-18,BELUM LUNAS,BELUM DIKUNJUNGI
PT SAMUDRA PUSAKA JAYA,Perusahaan,BL-1443-NV,ACEH,KOMP. TERMINAL BUS LR. I KEL. MON GEUDONG KEC. BANDA SAKTI KOTA L,8527878000,EU,Kuning - Kendaraan Umum,2025-10-13,2026-07-31,LUNAS,BELUM DIKUNJUNGI
PT SAMUDRA PUSAKA JAYA,Perusahaan,BL-1985-NL,ACEH,JL. CUT MEUTIA NO. 8 KEL. KOTA LHOKSEUMAWE KEC. BANDA SAKTI KOTA,82256545870,EU,Kuning - Kendaraan Umum,2025-06-02,2026-06-03,BELUM LUNAS,BELUM DIKUNJUNGI
PT SAMUDRA PUSAKA JAYA,Perusahaan,BL-1859-NB,ACEH,JL. CUT MEUTIA NO.8 KOTA LHOKSEUMAWE,85371079107,EU,Kuning - Kendaraan Umum,2024-11-20,2025-10-29,BELUM LUNAS,BELUM DIKUNJUNGI
PT SAMUDRA PUSAKA JAYA,Perusahaan,BL-7653-NB,ACEH,JL. CUT MUTIA KEC. BANDA SAKTI KOTA LHOKSEUMAWE,85675425874,EU,Kuning - Kendaraan Umum,2024-08-30,2025-09-04,BELUM LUNAS,BELUM DIKUNJUNGI
PT SAMUDRA PUSAKA JAYA,Perusahaan,BL-1856-NB,ACEH,JL. CUT MEUTIA NO.8 KOTA LHOKSEUMAWE,85260121700,EU,Kuning - Kendaraan Umum,2024-12-12,2025-11-25,BELUM LUNAS,BELUM DIKUNJUNGI
PT SAMUDRA PUSAKA JAYA,Perusahaan,BL-7641-NB,ACEH,JL. CUT MUTIA NO. 08 KEL. KOTA LHOKSEUMAWE KEC. BANDA SAKTI KOTA,85260121700,EU,Kuning - Kendaraan Umum,2025-08-21,2026-04-21,BELUM LUNAS,BELUM DIKUNJUNGI
PT SAMUDRA PUSAKA JAYA,Perusahaan,BL-7305-NB,ACEH,JL. CUT MUTIA NO. 8 KEL. PUSONG BARU KEC. BANDA SAKTI KOTA LHOKSE,0,EU,Kuning - Kendaraan Umum,2025-04-15,2026-02-22,BELUM LUNAS,BELUM DIKUNJUNGI
PT SAMUDRA PUSAKA JAYA,Perusahaan,BL-7518-NB,ACEH,JL. CUT MEUTIA NO. 8 KEC. BANDA SAKTI KOTA LHOKSEUMAWE,81111111111,EU,Kuning - Kendaraan Umum,2024-07-17,2025-09-03,BELUM LUNAS,BELUM DIKUNJUNGI
